eventTime,eventType,category,userId,product,sessionId,sessionStartTime,sessionEndTime
2018-03-01 12:00:02,view description,books,user 100,Scala for Dummies,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:01:40,like,books,user 100,Scala for Dummies,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:01:50,check status,books,user 100,Scala for Dummies,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:02:14,view description,books,user 100,Java for Dummies,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:02:45,dislike,books,user 100,Java for Dummies,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:02:50,close description,books,user 100,Java for Dummies,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:04:30,view description,books,user 100,Scala for Dummies,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:05:03,view description,mobile phones,user 300,iPhone X,4,2018-03-01 12:05:03,2018-03-01 12:05:20
2018-03-01 12:05:20,add to bucket,mobile phones,user 300,iPhone X,4,2018-03-01 12:05:03,2018-03-01 12:05:20
2018-03-01 12:06:15,add to bucket,books,user 100,Scala for Dummies,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:06:49,view description,mobile phones,user 100,iPhone 8 Plus,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:07:14,add to bucket,mobile phones,user 100,iPhone 8 Plus,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:08:01,view description,mobile phones,user 100,iPhone 8,1,2018-03-01 12:00:02,2018-03-01 12:08:01
2018-03-01 12:11:25,view description,books,user 200,"Sherlock Holmes, full collection",3,2018-03-01 12:11:25,2018-03-01 12:17:56
2018-03-01 12:12:15,check status,books,user 200,"Sherlock Holmes, full collection",3,2018-03-01 12:11:25,2018-03-01 12:17:56
2018-03-01 12:13:10,dislike,mobile phones,user 100,iPhone 8,2,2018-03-01 12:13:10,2018-03-01 12:16:10
2018-03-01 12:13:15,sign for updates,books,user 200,"Sherlock Holmes, full collection",3,2018-03-01 12:11:25,2018-03-01 12:17:56
2018-03-01 12:14:58,view description,notebooks,user 300,MacBook Air,5,2018-03-01 12:14:58,2018-03-01 12:14:58
2018-03-01 12:15:08,view description,notebooks,user 100,MacBook Pro 15,2,2018-03-01 12:13:10,2018-03-01 12:16:10
2018-03-01 12:15:10,view description,books,user 200,Romeo and Juliet,3,2018-03-01 12:11:25,2018-03-01 12:17:56
2018-03-01 12:15:10,check status,books,user 200,Romeo and Juliet,3,2018-03-01 12:11:25,2018-03-01 12:17:56
2018-03-01 12:15:10,add to bucket,books,user 200,Romeo and Juliet,3,2018-03-01 12:11:25,2018-03-01 12:17:56
2018-03-01 12:15:33,view description,notebooks,user 200,MacBook Pro 13,3,2018-03-01 12:11:25,2018-03-01 12:17:56
2018-03-01 12:16:10,check status,notebooks,user 100,MacBook Pro 15,2,2018-03-01 12:13:10,2018-03-01 12:16:10
2018-03-01 12:17:25,like,notebooks,user 200,MacBook Pro 13,3,2018-03-01 12:11:25,2018-03-01 12:17:56
2018-03-01 12:17:56,add to bucket,notebooks,user 200,MacBook Pro 13,3,2018-03-01 12:11:25,2018-03-01 12:17:56
2018-03-01 12:20:10,dislike,notebooks,user 300,MacBook Air,6,2018-03-01 12:20:10,2018-03-01 12:20:10
